대륙,국가,제조사,제품명(국문),Flavor 검출수,원재료
아시아,한국,농심,감자깡,14,"소맥분, 감자, 옥수수전분, 미강유, 팜유, 비프맛베이스조미분말, 바베큐맛조미분말, 양파"
아시아,한국,농심,꿀꽈배기,13,"소맥분, 정백당, 미강유, 옥수수전분, 혼합제제[타피오카산화전분, 말토덱스트린], 팜유, 알파옥수수전분, 고소미조미분말, 아카시아꿀, 발효사과농축액, 감초농축액, 현미조청, 정제염, 합성향료"
아시아,태국,펩시코,레이즈 구운새우와 해산물소스,15,"감자, 식물성유지, 시즈닝[향미증진제, MSG], 말토덱스트린, 산도조절제, 고결방지제, 천연색소, 천연향료"
아시아,태국,펩시코,레이즈 맥스 칠리,15,"감자, 식물성유지, 시즈닝, 튀긴칠리[말토덱스트린, 향미증진제, MSG], 고결방지제, 산도조절제, 천연색소, 산화방지제, 인공향료"
아시아,태국,펩시코,레이즈 미엥캄 향신료맛,14,"감자, 식물성유지, 시즈닝[말토덱스트린, 향미증진제, MSG], 산도조절제, 아스파탐, 고결방지제, 천연색소, 천연향료"
아메리카,미국,펩시코,레이즈 소금 & 식초,13,"감자, 천연향료(식초향), 정제소금, 식초"
유럽,네덜란드,펩시코,레이즈 요피맛,18,"감자, 해바라기유, 채종유, 요피맛시즈닝(설탕, 겨자향료, 염화칼륨, 요피분말, 설탕, 파프리카, 소금, 마늘분말, 향신료, 시어너트오일, 후추)"
아시아,인도,펩시코,레이즈 인도매직마살라,20,"감자,고올레산해바라기유, 시즈닝(Spices&Condiments, 정제소금, 말토덱스트린, 검정소금, 설탕, 토마토분말, 산도조절제, 천연향료, 산화방지제, 색소)"
아메리카,미국,펩시코,레이즈 클래식,12,"감자, 해바라기유, 옥수수유, 카놀라유, 대두유, 정제소금"
유럽,독일,로렌즈,로렌즈 로즈마리,17,"함성향료[바나나향, 분말바나나향, 바나나컴파운드향], 정제염, 난백분, 강황분말"
아시아,한국,농심,매운새우깡,15,"소맥분, 옥수수전분, 새우, 맛베이스조미분말, 타피오카산화전분, 말토덱스트린, 미강유, 팜유, 매운맛시즈닝, 매콤한풍미유"
아시아,한국,농심,먹태깡 청양마요맛,20,"소맥분, 타피오카산화전분, 말토덱스트린, 옥수수전분, 북어엑기스, 정백당, 청양마요소스맛시즈닝, 마요네즈맛분말, 구운북어채분말, 청양초시즈닝분말, 미강유, 팜유, 합성향료"
아시아,한국,오리온,무뚝뚝감자칩 통후추소금맛,20,"감자, 팜올레인유, 채종유, 페퍼솔트시즈닝[후추, 정제소금]"
아시아,한국,농심,바나나킥,13,"옥수수, 정백당, 미강유, 바나나분말, 팜유, 탈지분유, 함성향료[바나나향, 분말바나나향, 바나나컴파운드향], 정제염, 난백분, 강황분말"
아시아,한국,농심,빵부장 라즈베리맛,14,"옥수수, 정백당, 팜유, 유청분말, 탈지분유, 레시틴, 빵가루, 효모, 정제염, 대두분, 유화제, 소맥분, 가공버터, 미강유, 생크림케익페이스트, 전지분유, 라즈베리향시즈닝, 라즈베리농축액, 빵베이스혼합분, 프로필렌글리콜, 주정, 정제수, 향료, 글리세린, 구연산, 시놀레인산에스테르, 카민, 덱스트린, 파프리카추출색소, 비타민E, 가공유지, 베타카로틴, 미강유, 카카오색소, 안나토색소, 탄산나트륨"
아시아,한국,농심,빵부장 소금빵,11,"옥수수, 정백당, 소맥분, 효모, 정제염, 대두분, 유화제, 팜유, 미강유, 가공버터, 전지분유, 이즈니버터, 빵베이스혼합분[결정셀룰로오스, 설탕, 버터향, 정제소금, 농축버터버드, 게랑드소금, 정제염, 글리세린지방에스테르, 미강유, 정제수, 카카오색소, 안나토색소, 비타민E, 탄산나트륨, 가공유지, 파프리카추출색소, 베타카로틴, 향료, 올레오레진로즈마리"
아시아,한국,농심,새우깡,14,"소맥분, 옥수수전분, 새우, 맛베이스조미분말, 타피오카산화전분, 말토덱스트린, 미강유, 팜유, 새우풍미유, 염미시즈닝"
아시아,한국,농심,수미칩 오리지널,8,"감자, 미강유, 팜유, 조미염분말"
